"imagefilepath","predicted","actual"
"media/images/12f47cc15b04d8415b11.png","truck","truck"
"media/images/298862f1e50d182c2747.png","car","car"
"media/images/edc5429caa4776229eb8.png","car","car"
"media/images/51b9c3be80793dd6778e.png","truck","truck"
"media/images/9fca3319167ae00596af.png","horse","horse"
"media/images/f6f66cb6df38f94ee021.png","horse","horse"
"media/images/0a6b80079a4fe6ba2414.png","deer","deer"
"media/images/01a515c7257edc24ffe9.png","airplane","airplane"
"media/images/99607395668606464d9c.png","bird","bird"
"media/images/a7b692cd75773b5a1e5e.png","car","car"
"media/images/1dee0dc73398be4c27c6.png","cat","horse"
"media/images/4c731e3250cdcd5449d6.png","monkey","deer"
"media/images/4971642766ff52240332.png","monkey","bird"
"media/images/555b27e2252e5cb684fa.png","truck","car"
"media/images/088a36e345696938dd6a.png","car","truck"
"media/images/ee2891b6c7db3d119f44.png","monkey","deer"
"media/images/ba3eaa2e1c992159c4d0.png","monkey","dog"
"media/images/64dc5f88cdb3c520fb9f.png","horse","bird"
"media/images/22f4960e10532ac99c46.png","dog","horse"
"media/images/08fdfe8320e14ed045c9.png","cat","dog"
